Player,Team,salary,unique-code
Stephen Curry,GSW,55761216,curryst01
Joel Embiid,PHI,51415938,embiijo01
Nikola Jokić,DEN,51415938,jokicni01
Kevin Durant,PHO,51179021,duranke01
Bradley Beal,PHO,50203930,bealbr01
Jaylen Brown,BOS,49700000,brownja02
Devin Booker,PHO,49205800,bookede01
Karl-Anthony Towns,NYK,49205800,townska01
Paul George,PHI,49205800,georgpa01
Kawhi Leonard,LAC,49205800,leonaka01
Jimmy Butler,MIA,48798677,butleji01
Giannis Antetokounmpo,MIL,48787676,antetgi01
Damian Lillard,MIL,48787676,lillada01
LeBron James,LAL,48728845,jamesle01
Rudy Gobert,MIN,43827586,goberru01
Anthony Davis,LAL,43219440,davisan02
Luka Dončić,DAL,43031940,doncilu01
Zach LaVine,CHI,43031940,lavinza01
Trae Young,ATL,43031940,youngtr01
Fred VanVleet,HOU,42846615,vanvlfr01
Anthony Edwards,MIN,42176400,edwaran01
Tyrese Haliburton,IND,42176400,halibty01
Lauri Markkanen,UTA,42176400,markkla01
Pascal Siakam,IND,42176400,siakapa01
Kyrie Irving,DAL,41000000,irvinky01
Domantas Sabonis,SAC,40500000,sabondo01
Ben Simmons,BRK,40338144,simmobe01
Zion Williamson,NOP,36725670,willizi01
Ja Morant,MEM,36725670,moranja01
Darius Garland,CLE,36725670,garlada01
OG Anunoby,NYK,36637932,anunoog01
Jamal Murray,DEN,36016200,murraja01
Brandon Ingram,NOP,36016200,ingrabr01
Shai Gilgeous-Alexander,OKC,35859950,gilgesh01
Michael Porter Jr.,DEN,35859950,portemi01
Donovan Mitchell,CLE,35410310,mitchdo01
Tyrese Maxey,PHI,35147000,maxeyty01
LaMelo Ball,CHO,35147000,ballla01
Jayson Tatum,BOS,34848340,tatumja01
Bam Adebayo,MIA,34848340,adebaba01
De'Aaron Fox,SAC,34848340,foxde01
Desmond Bane,MEM,34005250,banede01
Deandre Ayton,POR,34005126,aytonde01
James Harden,LAC,33653846,hardeja01
CJ McCollum,NOP,33333333,mccolcj01
Julius Randle,MIN,33073920,randlju01
Immanuel Quickley,TOR,32500000,quickim01
Khris Middleton,MIL,31666667,middlkh01
Jrue Holiday,BOS,30000000,holidjr01
Isaiah Hartenstein,OKC,30000000,harteis01
Jerami Grant,POR,29793104,grantje01
Jordan Poole,WAS,29651786,poolejo01
Dejounte Murray,NOP,29517135,murrade01
Devin Vassell,SAS,29347826,vassede01
Kristaps Porziņģis,BOS,29268293,porzikr01
Tyler Herro,MIA,29000000,herroty01
Nic Claxton,BRK,27556817,claxtni01
Miles Bridges,CHO,27173913,bridgmi02
John Collins,UTA,26580000,collijo01
Andrew Wiggins,GSW,26276786,wiggian01
Anfernee Simons,POR,25892857,simonan01
RJ Barrett,TOR,25794643,barrerj01
Tobias Harris,DET,25365854,harrito02
Jaren Jackson Jr.,MEM,25257798,jacksja02
Jonathan Isaac,ORL,25000000,isaacjo01
Jalen Brunson,NYK,24960001,brunsja01
Terry Rozier,MIA,24924126,roziete01
Draymond Green,GSW,24107143,greendr01
Kyle Kuzma,WAS,23522727,kuzmaky01
DeMar DeRozan,SAC,23400000,derozde01
Mikal Bridges,NYK,23300000,bridgmi01
Jaden McDaniels,MIN,23017242,mcdanja02
Bruce Brown,TOR,23000000,brownbr01
Brook Lopez,MIL,23000000,lopezbr01
Aaron Gordon,DEN,22841455,gordoaa01
Kentavious Caldwell-Pope,ORL,22757000,caldwke01
Cameron Johnson,BRK,22500000,johnsca02
Malcolm Brogdon,WAS,22500000,brogdma01
Clint Capela,ATL,22265280,capelca01
Dillon Brooks,HOU,22255493,brookdi01
De'Andre Hunter,ATL,21696429,huntede01
Lonzo Ball,CHI,21395348,balllo01
Marcus Smart,MEM,20210284,smartma01
Derrick White,BOS,20071429,whitede01
Jarrett Allen,CLE,20000000,allenja01
Nikola Vučević,CHI,20000000,vucevni01
Myles Turner,IND,19928500,turnemy01
Jakob Poeltl,TOR,19500000,poeltja01
Duncan Robinson,MIA,19406000,robindu01
Norman Powell,LAC,19241379,powelno01
