Team,Code,Payroll
Phoenix Suns,PHO,217815821
Minnesota Timberwolves,MIN,203528446
Boston Celtics,BOS,197069191
Milwaukee Bucks,MIL,193097305
Los Angeles Lakers,LAL,188185999
New York Knicks,NYK,185351521
Miami Heat,MIA,184792287
Denver Nuggets,DEN,182574315
Philadelphia 76ers,PHI,181511437
Golden State Warriors,GSW,176598341
Dallas Mavericks,DAL,176105780
Cleveland Cavaliers,CLE,173375477
Los Angeles Clippers,LAC,173279115
New Orleans Pelicans,NOP,172651128
Atlanta Hawks,ATL,169529070
Memphis Grizzlies,MEM,169013097
Indiana Pacers,IND,168293307
Brooklyn Nets,BRK,167554990
Portland Trail Blazers,POR,167086613
Sacramento Kings,SAC,167073922
Chicago Bulls,CHI,166275570
Charlotte Hornets,CHO,161049141
Oklahoma City Thunder,OKC,160339256
Houston Rockets,HOU,160287067
Toronto Raptors,TOR,159442667
Washington Wizards,WAS,158918410
Orlando Magic,ORL,150359238
San Antonio Spurs,SAS,149748208
Utah Jazz,UTA,143653620
Detroit Pistons,DET,130348501

